1 	 -17.07811274365491 
2 	 -17.484447214272137 
3 	 -18.358480680084675 
4 	 -18.896630803436324 
5 	 -18.604124842723763 
6 	 -18.85600650600085 
7 	 -18.832432404265628 
8 	 -18.907779214303734 
9 	 -18.904655142187494 
10 	 -18.908003419758455 
11 	 -18.90677535079818 
12 	 -18.908282493055864 
13 	 -18.908338149879878 
14 	 -18.90817037664254 
15 	 -18.90828219073725 
16 	 -18.908345182643576 
17 	 -18.908338250654747 
18 	 -18.908343462241373 
19 	 -18.908344733647336 
20 	 -18.90834507984209 
21 	 -18.90834515221925 
22 	 -18.908345179357475 
23 	 -18.90834517677747 
